id,customerId,transDate,amount
0,723,2014-09-06,80.47
1,116,2012-07-18,61.15
2,795,2019-12-07,4.04
3,842,2015-02-11,89.84
4,421,2017-04-03,12.64
5,525,2014-03-06,72.29
6,587,2016-08-28,100.21
7,295,2014-12-29,39.03
8,973,2011-11-02,35.77
9,302,2011-03-14,53.04
10,896,2020-10-12,83.85
11,348,2019-01-09,87.27
12,64,2016-10-06,65.26
13,837,2016-11-01,10.03
14,620,2017-02-09,97.97
15,285,2011-04-12,11.63
16,980,2011-08-11,99.66
17,371,2014-12-11,33.79
18,405,2016-04-29,57.23
19,164,2014-06-30,12.35
20,36,2017-10-23,58.44
21,84,2020-03-13,21.37
22,690,2010-01-07,59.47
23,920,2017-11-14,16.98
24,788,2017-03-08,57.46
25,550,2016-11-07,50.84
26,431,2018-06-05,79.95
27,35,2011-07-07,74.5
28,686,2011-06-25,20.91
29,123,2015-06-27,15.43
30,645,2015-08-04,29.35
31,965,2018-02-07,26.72
32,617,2011-05-04,69.37
33,687,2014-10-29,67.82
34,7,2010-07-13,18.75
35,608,2017-02-15,13.47
36,566,2015-12-10,7.95
37,416,2017-05-22,89.89
38,521,2017-05-12,75.12
39,875,2019-12-17,75.35
40,395,2014-11-09,35.38
41,774,2020-07-02,36.28
42,446,2011-09-03,82.77
43,869,2013-03-01,74.19
44,914,2015-08-26,56.41
45,599,2013-01-06,80.65
46,627,2014-06-12,70.04
47,404,2015-04-01,58.53
48,71,2017-10-16,91.71
49,46,2018-07-27,94.35
50,968,2020-07-17,51.24
51,372,2020-06-07,86.77
52,785,2011-07-30,44.85
53,928,2015-01-21,37.03
54,355,2018-10-21,57.84
55,177,2019-05-10,88.07
56,573,2015-03-07,7.19
57,459,2020-12-06,36.55
58,428,2011-04-06,85.32
59,287,2013-04-20,52.14
60,31,2019-01-29,58.35
61,807,2015-10-11,2.99
62,171,2019-06-12,45.78
63,449,2019-10-13,17.5
64,819,2020-04-14,47.6
65,263,2019-10-27,46.41
66,476,2014-03-18,82.83
67,856,2017-01-22,17.04
68,947,2012-03-19,83.12
69,681,2010-04-04,42.03
70,972,2018-12-09,60.14
71,531,2011-10-14,55.39
72,181,2016-01-24,20.9
73,124,2016-11-11,51.84
74,193,2019-12-11,24.16
75,702,2016-12-28,87.65
76,146,2018-03-31,91.97
77,808,2012-12-01,65.84
78,536,2016-04-19,1.8399999999999999
79,312,2013-01-24,58.26
80,307,2014-10-26,17.05
81,912,2010-01-04,33.61
82,698,2019-12-01,69.02
83,598,2010-04-22,23.39
84,251,2015-12-06,45.85
85,149,2017-05-11,23.6
86,701,2013-11-13,89.51
87,871,2016-03-11,2.33
88,708,2015-09-26,85.51
89,393,2013-04-23,39.36
90,392,2010-03-25,61.9
91,445,2016-04-08,45.52
92,163,2019-09-12,61.27
93,526,2020-09-12,78.72
94,720,2019-10-08,10.85
95,261,2019-07-26,1.74
96,592,2012-03-21,24.14
97,74,2018-10-16,1.28
98,235,2012-05-29,21.63
99,907,2018-06-03,96.35
100,223,2010-08-04,14.56
101,55,2014-03-01,41.39
102,283,2017-03-01,34.59
103,531,2012-09-15,60.26
104,734,2020-06-19,25.41
105,815,2011-04-02,46.05
106,336,2020-12-23,37.7
107,766,2014-02-07,97.28
108,575,2010-09-27,4.53
109,18,2013-09-26,40.28
110,391,2014-12-19,51.24
111,273,2011-07-01,53.1
112,26,2016-02-08,52.05
113,254,2011-08-14,44.27
114,537,2018-08-26,42.9
115,216,2012-02-25,50.98
116,487,2016-02-13,86.11
117,771,2014-05-07,65.04
118,446,2011-06-12,73.03
119,828,2017-02-18,60.61
120,828,2017-01-21,73.16
121,645,2019-05-16,21.62
122,784,2010-10-16,21.6
123,925,2020-05-15,10.05
124,744,2017-11-09,83.95
125,197,2012-04-26,83.86
126,188,2012-10-12,59.87
127,215,2010-06-04,3.67
128,987,2010-06-22,33.58
129,93,2015-12-24,63.57
130,929,2020-09-09,96.22
131,183,2018-06-09,38.24
132,531,2019-02-07,92.31
133,596,2012-04-19,81.94
134,616,2015-12-15,6.6
135,793,2010-11-24,66.0
136,692,2017-05-11,100.38
137,444,2019-03-20,45.81
138,180,2015-04-30,6.34
139,807,2016-08-10,14.49
140,315,2018-09-15,8.46
141,162,2015-08-31,73.21
142,751,2014-08-23,83.2
143,253,2015-06-26,12.04
144,4,2019-10-27,42.08
145,704,2011-10-27,14.7
146,224,2020-03-01,92.82
147,764,2020-11-29,55.67
148,223,2010-12-15,96.19
149,928,2017-07-27,90.52
150,314,2018-12-28,31.37
151,556,2018-04-07,10.8
152,703,2016-07-18,11.71
153,531,2015-03-23,25.39
154,947,2014-04-18,55.37
155,820,2016-01-14,22.16
156,734,2014-11-30,7.79
157,732,2018-04-12,86.66
158,843,2019-07-05,62.28
159,670,2016-01-12,57.34
160,810,2019-12-11,25.05
161,577,2019-07-16,76.19
162,976,2011-11-17,28.97
163,952,2012-07-18,51.73
164,774,2019-09-26,42.11
165,87,2013-01-18,8.94
166,913,2012-12-22,1.63
167,82,2016-06-10,53.43
168,575,2016-02-01,70.61
169,347,2020-07-03,34.65
170,130,2015-01-20,37.42
171,57,2016-07-30,62.65
172,303,2013-08-15,49.45
173,176,2015-04-02,5.22
174,347,2018-08-31,10.4
175,291,2012-07-16,92.82
176,920,2013-08-03,67.69
177,907,2013-08-03,55.59
178,572,2013-10-25,56.23
179,772,2011-05-23,5.47
180,361,2013-06-23,4.96
181,956,2020-06-19,2.49
182,663,2014-09-22,85.15
183,169,2011-05-07,77.2
184,116,2019-10-26,34.1
185,442,2015-06-12,27.49
186,551,2018-04-01,73.72
187,262,2018-03-21,19.83
188,123,2019-12-09,35.42
189,383,2010-03-08,72.85
190,580,2014-06-12,17.84
191,461,2018-11-04,14.08
192,310,2016-02-06,80.25
193,718,2013-02-13,21.11
194,750,2018-01-05,85.58
195,388,2015-01-05,27.75
196,948,2012-06-02,16.09
197,150,2015-04-21,65.44
198,77,2019-04-26,91.25
199,924,2017-06-15,59.5
200,764,2018-03-14,27.07
201,961,2014-12-11,89.2
202,826,2018-09-07,63.79
203,744,2013-08-31,59.02
204,421,2019-12-04,97.03
205,642,2011-06-23,43.6
206,45,2013-11-04,64.25
207,538,2018-01-19,63.89
208,1,2019-12-08,42.12
209,639,2018-04-19,66.71
210,51,2010-04-23,28.21
211,543,2012-04-08,52.92
212,570,2016-04-05,10.32
213,192,2015-08-09,35.47
214,403,2010-01-09,63.83
215,212,2010-11-01,68.6
216,771,2019-02-12,37.05
217,583,2015-04-01,60.09
218,945,2014-03-28,30.82
219,254,2016-10-20,19.8
220,454,2014-03-31,32.23
221,465,2016-09-23,2.55
222,861,2010-01-26,90.58
223,992,2018-09-14,66.12
224,757,2010-05-07,11.93
225,87,2016-08-17,16.87
226,622,2015-07-07,100.95
227,462,2019-11-04,92.09
228,939,2011-12-24,94.1
229,946,2016-02-20,54.82
230,511,2012-04-08,52.79
231,43,2019-04-23,98.81
232,828,2012-01-18,53.58
233,423,2011-11-06,97.43
234,764,2011-12-24,93.69
235,435,2018-06-14,7.47
236,251,2013-10-08,78.28
237,611,2018-06-11,76.66
238,217,2011-02-20,93.65
239,371,2013-09-10,56.09
240,897,2019-05-15,88.04
241,16,2013-06-17,32.42
242,776,2014-03-23,18.43
243,380,2020-01-19,79.66
244,946,2016-10-03,29.61
245,243,2013-04-22,93.95
246,369,2020-04-26,68.33
247,755,2017-03-04,95.17
248,70,2014-08-30,58.83
249,391,2016-06-23,64.18
250,144,2016-12-22,32.43
251,656,2014-01-31,60.51
252,798,2017-01-27,59.63
253,401,2013-03-01,56.79
254,95,2018-12-01,66.32
255,75,2018-01-18,47.49
256,624,2010-07-07,67.69
257,359,2018-02-11,96.59
258,469,2011-12-04,16.71
259,526,2011-05-11,99.21
260,275,2020-11-26,11.87
261,535,2018-02-24,60.96
262,234,2012-09-25,72.09
263,713,2011-09-28,78.94
264,198,2018-03-03,5.1
265,522,2019-11-29,15.88
266,400,2015-10-30,35.35
267,494,2013-08-18,97.79
268,799,2016-10-21,86.44
269,799,2016-06-01,70.78
270,989,2013-10-10,89.58
271,172,2013-04-08,29.98
272,157,2013-06-23,12.26
273,47,2019-05-25,12.65
274,730,2012-07-29,90.95
275,804,2012-03-24,97.11
276,537,2019-08-29,23.13
277,883,2014-03-29,73.45
278,146,2013-03-01,4.07
279,463,2010-05-25,17.85
280,299,2014-09-13,98.95
281,303,2014-04-07,52.46
282,722,2018-04-30,52.61
283,409,2020-12-15,58.59
284,946,2018-01-11,1.83
285,802,2018-02-20,95.83
286,205,2016-07-11,66.01
287,102,2012-11-30,52.2
288,704,2017-01-16,88.0
289,302,2012-11-17,28.82
290,299,2011-04-07,21.83
291,554,2013-02-01,60.04
292,647,2017-08-05,12.6
293,434,2019-04-08,45.85
294,75,2010-09-07,83.28
295,374,2016-02-04,79.11
296,372,2013-07-26,97.76
297,207,2018-07-06,38.67
298,170,2018-09-18,24.61
299,456,2010-08-16,13.96
300,154,2015-07-14,8.95
301,202,2020-12-21,68.01
302,833,2019-11-23,97.9
303,188,2013-09-21,25.35
304,827,2017-04-01,68.51
305,766,2011-03-19,90.08
306,811,2010-04-29,41.46
307,442,2015-11-14,29.83
308,930,2016-02-08,45.14
309,140,2017-12-09,14.65
310,356,2020-09-08,19.41
311,776,2014-10-16,42.92
312,576,2017-01-24,32.98
313,717,2019-06-27,28.4
314,122,2020-09-18,70.01
315,521,2012-07-20,20.84
316,113,2012-08-03,74.4
317,486,2014-01-17,53.6
318,604,2013-10-19,51.37
319,234,2019-09-29,28.87
320,556,2015-09-08,95.53
321,8,2017-10-28,39.2
322,915,2020-06-06,71.67
323,816,2010-08-15,89.26
324,696,2016-07-31,4.92
325,490,2016-07-11,30.7
326,260,2018-01-30,90.22
327,356,2015-01-03,78.6
328,536,2016-12-26,20.14
329,491,2011-01-26,2.71
330,882,2018-01-31,73.48
331,211,2018-11-22,88.53
332,120,2011-11-22,83.88
333,323,2011-01-26,16.67
334,945,2020-04-12,10.72
335,820,2010-06-29,89.9
336,309,2016-05-27,86.13
337,405,2014-01-31,82.23
338,188,2016-09-30,30.75
339,346,2020-11-24,30.93
340,857,2017-09-02,56.97
341,167,2017-12-07,46.12
342,147,2012-04-23,80.89
343,677,2012-10-13,40.39
344,531,2010-04-29,38.91
345,534,2018-09-02,87.63
346,687,2018-03-11,9.57
347,779,2012-07-03,47.47
348,390,2013-01-28,66.44
349,753,2014-08-15,47.95
350,114,2016-11-07,13.67
351,167,2010-07-30,50.85
352,699,2010-07-24,99.91
353,992,2018-09-30,59.79
354,5,2011-04-12,58.63
355,967,2012-04-30,93.95
356,604,2020-07-18,86.68
357,569,2018-05-24,13.06
358,412,2018-08-30,97.35
359,820,2012-01-25,11.59
360,584,2017-05-11,63.09
361,145,2014-11-22,85.09
362,129,2017-07-20,83.8
363,650,2010-06-06,14.25
364,73,2016-08-04,75.8
365,861,2010-12-08,8.26
366,469,2017-01-10,74.61
367,244,2010-04-14,47.46
368,697,2014-09-11,87.35
369,853,2017-07-26,9.61
370,251,2017-11-06,93.41
371,572,2016-07-01,55.57
372,683,2019-11-09,83.58
373,871,2011-04-19,87.52
374,321,2013-12-05,62.79
375,773,2018-02-12,52.72
376,418,2012-06-14,47.53
377,723,2010-04-08,56.99
378,590,2020-09-14,55.81
379,777,2014-10-24,71.76
380,734,2012-10-12,12.03
381,862,2019-12-18,92.62
382,589,2019-01-30,81.66
383,145,2019-08-13,20.37
384,395,2010-02-21,96.84
385,933,2018-02-18,93.7
386,709,2015-12-06,33.77
387,708,2018-07-29,65.11
388,677,2016-07-05,15.71
389,668,2013-12-20,54.0
390,872,2012-05-03,7.08
391,852,2013-05-24,90.09
392,617,2012-09-09,3.69
393,317,2012-09-28,51.55
394,891,2017-03-05,65.91
395,344,2011-05-16,97.6
396,714,2010-07-23,61.9
397,251,2013-11-27,82.49
398,498,2017-08-11,66.21
399,888,2012-11-17,57.76
400,432,2018-10-31,10.41
401,724,2015-03-17,95.25
402,293,2014-12-15,52.6
403,879,2020-08-23,57.48
404,985,2019-01-09,53.54
405,874,2017-01-06,14.87
406,447,2010-05-19,89.88
407,621,2019-04-14,35.3
408,558,2015-03-06,86.22
409,526,2014-09-23,34.87
410,931,2017-12-11,51.39
411,402,2018-09-15,73.75
412,503,2010-08-14,69.76
413,1000,2012-07-16,35.91
414,930,2018-04-18,22.31
415,76,2019-09-03,48.79
416,736,2020-01-04,50.8
417,771,2013-11-03,57.97
418,457,2012-09-19,89.19
419,946,2014-04-11,84.92
420,67,2011-02-07,72.0
421,134,2014-07-16,52.12
422,955,2012-06-27,82.34
423,39,2011-03-06,62.88
424,147,2015-06-14,87.39
425,26,2018-04-08,2.49
426,869,2017-01-24,10.46
427,671,2016-07-12,40.06
428,499,2014-06-15,77.0
429,44,2019-05-14,87.96
430,686,2016-02-24,68.13
431,825,2018-10-26,62.37
432,493,2013-01-30,88.19
433,665,2017-05-10,85.85
434,465,2013-08-06,69.21
435,770,2020-04-13,80.26
436,409,2018-11-15,29.64
437,36,2015-10-12,29.55
438,52,2014-09-19,30.97
439,631,2014-07-27,84.01
440,450,2010-03-02,59.75
441,571,2010-10-09,100.15
442,786,2012-05-21,25.92
443,580,2013-04-18,1.6800000000000002
444,952,2012-09-26,55.43
445,419,2019-08-07,50.86
446,666,2014-04-14,83.49
447,858,2013-05-08,92.8
448,240,2011-07-17,36.83
449,175,2020-06-12,44.4
450,40,2016-11-12,10.25
451,142,2015-07-01,85.13
452,189,2019-02-23,49.7
453,952,2010-08-14,2.38
454,221,2013-07-11,56.74
455,540,2019-05-27,90.32
456,922,2019-10-28,63.2
457,385,2019-01-28,94.69
458,378,2017-09-22,92.82
459,584,2012-01-08,39.32
460,30,2020-05-11,70.51
461,866,2020-12-13,98.76
462,839,2017-12-29,67.86
463,390,2016-02-05,35.97
464,113,2013-04-20,93.13
465,193,2016-08-13,24.7
466,171,2020-09-23,24.87
467,841,2016-08-13,21.48
468,152,2017-02-13,24.2
469,173,2017-02-28,35.2
470,38,2010-09-22,100.79
471,859,2019-11-17,93.58
472,600,2013-07-28,26.63
473,379,2014-03-24,70.66
474,323,2018-08-25,5.08
475,65,2015-10-02,9.92
476,732,2017-05-08,74.22
477,625,2017-05-19,59.76
478,656,2012-01-02,97.36
479,121,2019-08-02,51.13
480,296,2014-04-05,30.91
481,924,2011-12-25,38.35
482,331,2013-12-05,43.53
483,988,2015-05-23,100.35
484,826,2018-06-13,7.8
485,683,2011-10-28,32.21
486,450,2013-12-30,50.79
487,655,2018-08-21,43.27
488,553,2016-08-31,27.59
489,125,2017-02-02,9.29
490,487,2018-01-09,21.7
491,452,2011-09-12,94.53
492,930,2013-06-26,29.23
493,894,2011-12-27,25.29
494,248,2020-11-22,97.8
495,969,2019-10-26,20.32
496,916,2019-03-17,45.59
497,2,2013-09-29,72.44
498,412,2010-10-23,66.73
499,923,2019-10-25,71.76
500,321,2014-06-01,96.92
501,918,2020-04-21,40.82
502,870,2012-06-17,71.35
503,646,2012-11-26,54.34
504,254,2015-06-11,84.69
505,331,2015-08-30,28.79
506,170,2014-06-29,80.13
507,506,2016-07-26,76.56
508,174,2016-12-25,80.62
509,697,2017-01-13,45.18
510,721,2010-01-01,28.6
511,941,2017-11-22,84.91
512,150,2018-11-05,1.47
513,879,2013-09-25,63.96
514,448,2018-12-01,34.21
515,95,2013-12-05,64.09
516,626,2018-03-17,100.38
517,581,2011-04-22,48.25
518,160,2020-02-12,25.16
519,941,2014-07-21,97.99
520,527,2017-05-09,59.72
521,526,2016-02-29,89.62
522,984,2019-03-28,69.12
523,772,2013-07-21,55.78
524,265,2013-06-25,82.78
525,573,2016-11-04,40.28
526,306,2017-04-25,37.28
527,272,2014-12-26,30.74
528,852,2016-11-03,30.6
529,816,2020-01-01,33.62
530,775,2017-01-26,63.17
531,630,2010-01-18,31.5
532,417,2010-01-21,52.28
533,11,2017-09-02,70.16
534,294,2018-09-19,16.58
535,27,2011-02-23,11.64
536,116,2012-06-28,17.08
537,746,2011-04-21,77.12
538,634,2012-12-25,49.0
539,733,2018-02-21,95.1
540,63,2018-07-10,21.16
541,116,2018-10-27,45.92
542,959,2012-06-16,83.62
543,409,2012-09-16,57.73
544,474,2010-10-23,54.81
545,329,2015-10-12,34.48
546,373,2012-03-04,62.73
547,90,2016-06-01,100.26
548,452,2019-05-15,24.83
549,130,2015-01-06,77.12
550,24,2019-12-22,96.54
551,916,2013-06-26,23.92
552,841,2013-03-26,91.43
553,51,2020-01-16,8.29
554,753,2012-05-20,27.2
555,655,2018-08-30,44.69
556,162,2013-12-05,28.83
557,844,2017-04-04,64.06
558,494,2020-04-29,25.0
559,764,2020-02-23,89.33
560,424,2017-09-27,23.85
561,392,2016-02-09,34.52
562,752,2011-05-28,33.66
563,936,2016-02-12,93.14
564,770,2010-03-21,40.69
565,10,2020-01-03,55.26
566,530,2013-10-27,23.23
567,990,2018-02-05,29.83
568,335,2020-05-25,47.19
569,469,2016-10-26,12.42
570,378,2011-07-19,58.46
571,54,2017-04-13,24.54
572,817,2014-03-17,92.84
573,896,2015-06-14,50.24
574,631,2010-02-23,60.97
575,291,2011-04-19,84.52
576,193,2010-12-22,66.49
577,56,2012-11-26,10.9
578,177,2016-10-29,92.26
579,575,2018-05-17,95.94
580,363,2020-03-12,47.65
581,945,2012-04-15,51.69
582,887,2015-08-09,31.92
583,920,2012-04-30,16.56
584,996,2020-06-19,87.87
585,582,2015-01-11,59.0
586,67,2018-06-21,9.25
587,877,2014-09-21,42.59
588,460,2010-10-05,20.38
589,260,2018-12-05,25.96
590,925,2017-08-20,1.51
591,168,2011-04-20,21.23
592,701,2017-11-30,35.63
593,897,2018-02-22,22.04
594,732,2014-08-23,68.85
595,47,2017-09-18,36.85
596,179,2018-09-21,31.47
597,501,2020-02-20,87.96
598,902,2018-11-21,16.85
599,65,2017-12-03,16.67
600,911,2017-11-12,20.88
601,98,2010-06-03,14.75
602,903,2011-04-05,60.43
603,513,2019-08-29,83.9
604,728,2017-03-04,65.74
605,550,2013-03-29,2.63
606,634,2011-01-09,41.67
607,610,2018-07-02,21.49
608,338,2017-02-11,5.47
609,412,2016-04-14,101.0
610,890,2017-08-07,18.2
611,268,2016-11-06,2.95
612,686,2015-06-16,52.39
613,404,2018-09-21,51.86
614,150,2010-03-18,29.58
615,992,2013-11-07,10.76
616,137,2014-12-18,62.72
617,550,2018-07-19,41.64
618,953,2010-08-18,88.16
619,565,2020-10-28,28.1
620,623,2017-08-01,22.68
621,304,2015-12-02,12.53
622,427,2017-03-31,13.35
623,590,2018-01-03,23.01
624,553,2014-09-26,36.69
625,296,2012-11-09,62.07
626,538,2014-09-18,60.92
627,606,2017-08-20,36.42
628,206,2016-11-12,80.51
629,84,2012-10-11,39.02
630,464,2020-11-27,67.18
631,372,2017-11-02,42.77
632,805,2019-01-21,21.78
633,939,2020-06-13,32.17
634,923,2014-08-01,7.73
635,507,2012-10-05,96.64
636,610,2014-05-12,71.41
637,163,2010-10-08,84.3
638,491,2012-04-04,75.06
639,973,2011-12-20,97.87
640,59,2020-11-03,58.88
641,922,2013-06-12,14.21
642,523,2019-11-02,21.52
643,252,2013-10-27,88.26
644,123,2014-07-06,96.32
645,931,2015-11-08,17.78
646,11,2011-08-06,95.09
647,972,2012-07-24,62.82
648,722,2013-12-29,54.01
649,337,2015-02-23,100.27
650,124,2018-03-16,70.74
651,211,2012-12-14,64.79
652,292,2010-11-19,52.35
653,868,2015-03-08,45.59
654,357,2016-10-16,45.51
655,336,2015-09-19,22.83
656,937,2010-12-23,86.14
657,463,2019-09-05,6.7
658,667,2012-11-14,20.06
659,269,2013-06-01,49.83
660,525,2016-04-07,40.77
661,628,2012-03-29,52.75
662,800,2019-05-08,100.04
663,284,2014-02-14,26.62
664,110,2013-05-26,34.2
665,810,2012-05-21,10.64
666,197,2018-12-05,46.64
667,446,2019-02-11,69.61
668,144,2015-08-29,28.48
669,56,2019-10-04,94.73
670,878,2014-02-14,16.46
671,535,2014-12-14,1.15
672,793,2019-01-17,93.02
673,342,2010-06-12,98.74
674,969,2020-01-24,17.02
675,324,2020-10-17,54.55
676,729,2013-06-17,8.36
677,927,2014-02-22,67.9
678,707,2010-06-01,65.87
679,742,2012-10-21,23.8
680,231,2020-05-02,79.88
681,530,2017-12-04,3.69
682,82,2012-10-19,51.34
683,293,2013-02-15,78.38
684,69,2016-01-14,100.63
685,567,2010-08-05,4.8100000000000005
686,168,2018-09-30,11.72
687,267,2015-09-04,98.42
688,350,2017-02-03,83.7
689,391,2016-09-12,40.44
690,264,2010-01-17,35.12
691,952,2017-11-08,90.35
692,194,2010-03-16,38.02
693,702,2019-02-09,36.05
694,169,2012-10-31,38.64
695,984,2020-01-27,93.29
696,882,2017-02-13,47.51
697,54,2019-02-12,18.7
698,225,2017-08-27,78.95
699,586,2018-12-27,78.18
700,931,2018-03-23,52.29
701,23,2016-05-31,21.06
702,920,2018-01-08,86.8
703,773,2012-05-16,55.21
704,392,2017-11-06,42.18
705,698,2010-03-18,36.82
706,162,2014-07-28,45.1
707,386,2019-12-09,80.58
708,636,2013-06-27,66.71
709,153,2019-06-16,59.55
710,877,2011-07-15,82.17
711,431,2010-09-18,39.02
712,447,2011-05-20,59.08
713,902,2010-03-06,49.37
714,801,2015-08-28,92.28
715,871,2015-02-03,27.33
716,476,2011-03-06,60.6
717,201,2015-04-15,99.74
718,408,2013-10-10,38.64
